period,type1_attendances,type2_attendances,type3_attendances,total_attendances,emergency_admissions_type1,emergency_admissions_type2,emergency_admissions_type3_4,total_emergency_admissions_via_ae,other_emergency_admissions,total_emergency_admissions,patients_over_4hrs,patients_over_12hrs
Nov-22,1395183,42644,740977,2178804,368997,1558,6271,376826,138699,515525,143672,37853.0
Dec-22,1437681,36592,819806,2294079,378202,1359,6171,385732,131712,517444,170121,54573.0
Jan-23,1243898,42076,682364,1968338,364353,1464,5386,371203,137576,508779,142210,42767.0
Feb-23,1206386,41717,666176,1914279,339726,1403,4993,346122,126734,472856,126947,34975.0
Mar-23,1372403,46803,746745,2165951,381708,1461,5198,388367,143724,532091,144308,39687.0
Apr-23,1271145,42632,720263,2034040,363625,1340,5150,370115,120358,490473,113083,26492.0
May-23,1400815,45826,799278,2245919,388202,1338,5548,395088,133847,528935,122427,31498.0
Jun-23,1389009,46196,790521,2225726,381815,1403,4754,387972,134751,522723,113791,26488.0
Jul-23,1379854,45513,774420,2199787,391312,1383,7719,400414,134268,534682,108240,23396.0
Aug-23,1323647,43923,742291,2109861,384233,1403,4206,389842,134039,523881,118962,27710.0
Sep-23,1369045,42631,758370,2170046,383234,1325,4372,388931,132297,521228,124956,32228.0
Oct-23,1413597,44769,765954,2224320,401524,1431,4386,407341,139530,546871,143850,43534.0
Nov-23,1386008,42365,739211,2167584,396755,1452,4319,402526,142117,544643,145934,42503.0
Dec-23,1384220,39282,761416,2184918,406833,1327,4164,412324,133819,546143,148105,43858.0
Jan-24,1397975,42835,790015,2230825,403208,1399,4561,409168,147086,556254,158735,54312.0
Feb-24,1347642,43868,766312,2157822,382132,1465,4231,387828,139515,527343,139467,44420.0
Mar-24,1462878,48922,858421,2370221,420025,1515,4614,426154,141302,567456,140195,42972.0
Apr-24,1372028,51495,817145,2240668,398116,1442,4376,403934,140179,544113,134344,42078.0
May-24,1472721,51246,892325,2416292,414156,1490,4558,420204,144489,564693,138770,42555.0
Jun-24,1405658,49382,839025,2294065,396204,1406,4445,402055,134829,536884,128114,38106.0
Jul-24,1425569,51499,847764,2324832,405655,1479,4648,411782,140686,552468,129330,36806.0
Aug-24,1320157,48387,792247,2160791,390554,1300,4661,396515,129118,525633,116489,28494.0
Sep-24,1364482,48534,801201,2214217,393406,1323,4677,399406,131418,530824,130632,38880.0
Oct-24,1453242,49717,857577,2360536,415893,1327,4828,422048,145400,567448,148788,49616.0
Nov-24,1428050,47263,839685,2314998,407955,1267,4887,414109,138052,552161,140782,45791.0
Dec-24,1440311,44041,861582,2345934,411161,1239,4667,417067,135525,552592,154689,54207.0
Jan-25,1359026,49486,809618,2218130,400481,1353,4394,406228,142547,548775,159582,61529.0
Feb-25,1271336,45682,771053,2088071,362605,1252,3721,367578,128517,496095,131237,47623.0
Mar-25,1450686,51237,887141,2389064,404354,1366,4569,410289,140840,551129,133957,46766.0
Apr-25,1388613,49738,859070,2297421,390648,1418,4226,396292,131938,528230,131856,44648.0
May-25,1453480,50919,893130,2397529,403026,1440,5060,409526,135602,545128,130035,42891.0
Jun-25,1428563,51618,871400,2351581,395628,1389,4863,401880,134061,535941,118171,38683.0
Jul-25,1469050,52989,886827,2408866,412893,1443,5115,419451,139941,559392,115542,35467.0
Aug-25,1383870,49084,833983,2266937,394548,1261,5111,400920,125479,526399,115826,35909.0
Sep-25,1417440,50733,842049,2310222,395054,1343,5349,401746,133834,535580,129004,44765.0
Oct-25,1481222,54756,861723,2397701,406835,1364,5511,413710,140483,554193,142734,54314.0
Nov-25,1448958,49725,847177,2345860,390459,1314,4971,396744,135003,531747,133799,50648.0
Dec-25,1438921,47522,840572,2327015,399046,1312,5020,405378,136817,542195,137763,50775.0
Jan-26,1435727,50710,833829,2320266,395611,1399,4932,401942,144194,546136,161141,71517.0
Feb-26,1298005,48233,771212,2117450,355598,1281,5051,361930,131085,493015,132238,54649.0
